0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
0,0,0,0,0,15,32,10,73,4,24,0,0,3,0,2,NaN
0,0,2,0,0,13,10,40,2,16,3,3,1,13,1,0,NaN
1,0,0,0,0,26,39,5,66,8,12,2,1,3,22,4,NaN
0,0,0,0,0,33,5,44,10,9,0,11,1,1,0,0,NaN
0,1,0,2,0,36,35,8,29,2,29,1,44,6,1,3,NaN
0,0,0,0,0,1,5,21,4,9,15,3,7,3,70,2,NaN
0,0,0,0,0,7,2,43,15,0,2,0,0,7,12,3,NaN
0,0,0,0,0,0,0,14,54,4,11,14,1,1,11,1,NaN
0,0,0,1,0,47,11,22,6,2,14,8,0,26,5,9,NaN
0,0,0,0,0,0,0,9,83,3,0,2,1,15,12,2,NaN
1,0,0,0,0,26,2,9,36,10,17,0,3,16,0,4,NaN
0,0,0,0,1,3,24,37,10,19,8,0,8,15,3,58,NaN
0,1,1,0,0,9,25,7,12,14,10,0,18,13,7,0,NaN
1,0,0,1,0,1,4,36,0,2,29,19,2,3,0,3,NaN
0,0,0,2,0,51,43,2,26,0,2,0,1,0,1,33,NaN
0,0,0,0,0,29,47,10,55,10,1,2,4,1,5,2,NaN
0,0,0,0,0,35,0,12,24,0,12,21,12,0,13,1,NaN
0,2,0,0,0,6,15,26,64,7,25,7,17,22,0,2,NaN
0,0,0,0,0,0,23,1,45,13,0,1,0,4,0,4,NaN
1,0,0,2,0,26,32,1,1,37,6,3,7,11,68,0,NaN
0,0,0,0,0,3,4,51,71,0,6,0,1,6,2,37,NaN
0,0,1,0,0,9,0,96,24,7,20,5,16,3,0,8,NaN
0,0,1,1,0,55,0,15,17,50,17,5,2,10,1,5,NaN
0,0,0,1,0,0,8,30,1,1,10,5,3,9,1,5,NaN
1,0,0,0,0,1,1,61,72,7,0,2,0,8,27,21,NaN
0,2,1,4,1,17,0,24,10,18,26,9,14,2,1,0,NaN
0,0,0,0,0,7,37,45,19,3,11,2,9,5,5,0,NaN
0,0,0,0,0,72,0,20,9,32,43,1,24,14,5,70,NaN
0,0,0,0,9,50,50,3,41,18,8,6,4,1,1,0,NaN
1,0,9,0,0,4,0,13,15,10,1,8,1,0,9,2,NaN
3,0,0,1,0,58,24,10,20,15,16,2,3,22,6,5,NaN
1,0,0,0,0,52,13,3,19,2,3,0,2,14,26,0,NaN
0,0,0,0,0,45,19,10,8,39,3,57,15,4,0,0,NaN
1,0,0,1,0,16,18,17,31,4,4,1,3,4,24,0,NaN
0,0,0,0,0,1,36,17,10,3,22,8,0,1,1,1,NaN
0,0,0,1,0,0,2,26,49,19,5,15,1,37,23,1,NaN
0,0,0,3,0,51,19,17,2,13,21,3,2,4,0,3,NaN
0,1,0,0,0,4,0,45,14,33,17,7,6,4,0,0,NaN
0,0,1,0,0,22,4,95,0,76,12,5,3,1,9,12,NaN
0,0,0,2,0,46,42,0,18,7,13,15,2,2,0,5,NaN
0,0,0,0,0,0,37,17,33,48,11,8,3,13,1,52,NaN
1,0,0,0,0,13,82,0,38,6,14,3,1,3,1,7,NaN
0,0,0,0,0,2,28,18,11,55,21,5,13,2,14,1,NaN
0,0,0,0,0,42,25,53,54,3,0,0,3,1,3,2,NaN
2,0,0,0,0,54,3,26,9,30,3,11,13,1,1,27,NaN
4,0,0,2,0,1,0,27,0,0,17,4,0,0,0,5,NaN
