0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,60min
0,0,NaN,NaN,0,NaN,3,NaN,80,NaN,24,103,0,NaN,7,0,82
0,1,NaN,NaN,19,NaN,8,NaN,155,NaN,17,18,155,NaN,110,6,7
0,0,NaN,NaN,0,NaN,11,NaN,146,NaN,18,71,58,NaN,27,62,8
0,0,NaN,NaN,0,NaN,32,NaN,81,NaN,42,119,57,NaN,39,8,29
0,0,NaN,NaN,1,NaN,21,NaN,39,NaN,61,23,76,NaN,0,23,7
1,0,NaN,NaN,0,NaN,23,NaN,42,NaN,32,110,143,NaN,24,6,6
0,0,NaN,NaN,15,NaN,1,NaN,79,NaN,88,47,50,NaN,51,0,0
0,0,NaN,NaN,2,NaN,30,NaN,149,NaN,60,25,87,NaN,141,6,1
0,0,NaN,NaN,1,NaN,20,NaN,96,NaN,161,118,125,NaN,2,22,2
0,0,NaN,NaN,17,NaN,17,NaN,13,NaN,30,12,11,NaN,0,37,58
0,1,NaN,NaN,0,NaN,18,NaN,46,NaN,72,68,51,NaN,0,12,31
1,0,NaN,NaN,7,NaN,50,NaN,92,NaN,65,74,7,NaN,2,57,0
1,0,NaN,NaN,0,NaN,19,NaN,37,NaN,81,115,75,NaN,8,1,0
0,0,NaN,NaN,0,NaN,63,NaN,55,NaN,25,36,52,NaN,5,0,1
0,0,NaN,NaN,2,NaN,14,NaN,105,NaN,103,25,0,NaN,46,1,27
0,0,NaN,NaN,0,NaN,1,NaN,84,NaN,22,5,95,NaN,4,25,8
1,0,NaN,NaN,0,NaN,6,NaN,81,NaN,30,23,42,NaN,50,17,22
2,0,NaN,NaN,8,NaN,41,NaN,29,NaN,0,35,56,NaN,16,7,9
0,0,NaN,NaN,1,NaN,3,NaN,48,NaN,NaN,72,54,NaN,71,34,0
13,0,NaN,NaN,0,NaN,32,NaN,53,NaN,NaN,63,11,NaN,19,6,8
0,2,NaN,NaN,3,NaN,6,NaN,57,NaN,NaN,74,74,NaN,7,4,18
0,55,NaN,NaN,9,NaN,35,NaN,24,NaN,NaN,64,69,NaN,91,18,46
1,0,NaN,NaN,0,NaN,28,NaN,54,NaN,NaN,73,41,NaN,0,0,5
0,0,NaN,NaN,0,NaN,14,NaN,74,NaN,NaN,72,0,NaN,0,0,4
0,0,NaN,NaN,1,NaN,40,NaN,42,NaN,NaN,85,37,NaN,108,50,10
0,5,NaN,NaN,0,NaN,54,NaN,41,NaN,NaN,NaN,129,NaN,5,2,0
4,0,NaN,NaN,3,NaN,0,NaN,54,NaN,NaN,NaN,7,NaN,64,0,14
0,0,NaN,NaN,13,NaN,4,NaN,67,NaN,NaN,NaN,81,NaN,38,83,13
0,0,NaN,NaN,0,NaN,2,NaN,84,NaN,NaN,NaN,30,NaN,21,1,23
1,0,NaN,NaN,1,NaN,1,NaN,40,NaN,NaN,NaN,81,NaN,34,11,5
0,0,NaN,NaN,0,NaN,6,NaN,22,NaN,NaN,NaN,111,NaN,35,18,1
0,0,NaN,NaN,1,NaN,22,NaN,28,NaN,NaN,NaN,132,NaN,42,33,36
0,0,NaN,NaN,1,NaN,20,NaN,92,NaN,NaN,NaN,48,NaN,50,17,2
1,3,NaN,NaN,0,NaN,28,NaN,46,NaN,NaN,NaN,95,NaN,45,78,59
1,1,NaN,NaN,0,NaN,19,NaN,99,NaN,NaN,NaN,93,NaN,64,32,44
0,3,NaN,NaN,2,NaN,4,NaN,33,NaN,NaN,NaN,13,NaN,16,8,1
0,0,NaN,NaN,0,NaN,28,NaN,35,NaN,NaN,NaN,133,NaN,4,0,17
0,0,NaN,NaN,15,NaN,23,NaN,64,NaN,NaN,NaN,20,NaN,22,0,0
0,1,NaN,NaN,0,NaN,1,NaN,51,NaN,NaN,NaN,67,NaN,85,2,45
0,1,NaN,NaN,0,NaN,9,NaN,72,NaN,NaN,NaN,141,NaN,52,1,41
0,0,NaN,NaN,0,NaN,1,NaN,35,NaN,NaN,NaN,134,NaN,12,0,1
